Time;Input Voltage;Output Voltage;Input Frequency;Load;Battery Level;Temperature
00:00:30;242;214;50;0;100;30
00:01:00;240;212;50;0;100;30
00:01:30;238;210;50;0;100;30
00:02:00;236;210;50;0;100;30
00:02:30;238;208;50;0;100;30
00:03:00;238;212;50;0;100;30
00:03:30;238;212;50;0;100;30
00:04:00;240;212;50;0;100;30
00:04:30;242;214;50;0;100;30
00:05:00;242;214;50;0;100;30
00:05:30;246;214;50;0;100;30
00:06:00;244;214;50;0;100;30
00:06:30;244;214;50;0;100;30
00:07:00;242;214;50;0;100;30
00:07:30;242;214;50;0;100;30
00:08:00;240;212;50;0;100;30
00:08:30;242;212;50;0;100;30
00:09:00;244;214;50;0;100;30
00:09:30;238;210;50;0;100;30
00:10:00;240;212;50;0;100;30
00:10:30;236;208;50;0;100;30
00:11:00;238;210;50;0;100;30
00:11:30;242;214;50;0;100;30
00:12:00;244;214;50;0;100;30
00:12:30;242;214;50;0;100;30
00:13:00;248;220;50;0;100;30
00:13:30;246;216;50;0;100;30
00:14:00;244;214;50;0;100;30
00:14:30;244;214;50;0;100;30
00:15:00;246;214;50;0;100;30
00:15:30;242;214;50;0;100;30
00:16:00;244;214;50;0;100;30
00:16:30;240;212;50;0;100;29
00:17:00;240;214;50;0;100;30
00:17:30;240;212;50;0;100;30
00:18:00;240;212;50;0;100;30
00:18:30;234;206;50;0;100;30
00:19:00;236;208;50;0;100;30
00:19:30;238;210;50;0;100;30
00:20:00;238;212;50;0;100;30
00:20:30;242;214;50;0;100;30
00:21:00;246;216;50;0;100;30
00:21:30;244;214;50;0;100;30
00:22:00;242;214;50;0;100;30
00:22:30;240;212;50;0;100;30
00:23:00;236;206;50;0;100;30
00:23:30;238;212;50;0;100;30
00:24:00;242;214;50;0;100;30
00:24:30;244;216;50;0;100;30
00:25:00;240;214;50;0;100;30
00:25:30;238;212;50;0;100;30
00:26:00;240;212;50;0;100;30
00:26:30;240;212;50;0;100;30
00:27:00;242;212;50;0;100;30
00:27:30;240;212;50;0;100;30
00:28:00;238;212;50;0;100;30
00:28:30;236;208;50;0;100;30
00:29:00;240;212;50;0;100;30
00:29:30;238;212;50;0;100;30
00:30:00;242;214;50;0;100;30
00:30:30;242;214;50;0;100;30
00:31:00;238;212;50;0;100;30
00:31:30;240;212;50;0;100;30
00:32:00;240;212;50;0;100;30
00:32:30;246;214;50;0;100;30
00:33:00;244;214;50;0;100;30
00:33:30;244;214;50;0;100;30
00:34:00;240;212;50;0;100;30
00:34:30;242;214;50;0;100;30
00:35:00;246;218;50;0;100;30
00:35:30;246;216;50;0;100;30
00:36:00;248;218;50;0;100;30
00:36:30;250;220;50;0;100;30
00:37:00;250;220;50;0;100;30
00:37:30;252;220;50;0;100;29
00:38:00;246;218;50;0;100;30
00:38:30;248;218;50;0;100;30
00:39:00;242;214;50;0;100;30
00:39:30;244;214;50;0;100;30
00:40:00;242;214;50;0;100;30
00:40:30;240;212;50;0;100;30
00:41:00;242;212;50;0;100;30
00:41:30;240;214;50;0;100;30
00:42:00;238;212;50;0;100;30
00:42:30;242;212;50;0;100;30
00:43:00;240;214;50;0;100;30
00:43:30;242;214;50;0;100;30
00:44:00;240;212;50;0;100;30
00:44:30;240;212;50;0;100;30
00:45:00;244;214;50;0;100;30
00:45:30;242;214;50;0;100;30
00:46:00;242;214;50;0;100;30
00:46:30;242;214;50;0;100;30
00:47:00;242;214;50;0;100;30
00:47:30;242;214;50;0;100;30
00:48:00;242;214;50;0;100;30
00:48:30;240;212;50;0;100;30
00:49:00;238;208;50;0;100;30
00:49:30;238;210;50;0;100;30
